region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Ethiopia,231,Country/Area,910,7.17,6.9,6.9,6.87,7.1,7.18,7.42,7.37,7.09,6.83,6.18,5.45,4.85,4.3
Kenya,404,Country/Area,910,7.48,7.79,8.07,8.11,7.99,7.64,7.22,6.54,5.65,5.35,5,4.65,4.06,3.52
Madagascar,450,Country/Area,910,7.3,7.3,7.3,7.3,7.2,6.95,6.5,6.25,6.1,5.8,5.28,4.83,4.4,4.11
Malawi,454,Country/Area,910,6.85,6.9,7,7.2,7.4,7.6,7.6,7.25,6.5,6.2,6,5.73,4.88,4.25
Mauritius,480,Country/Area,910,5.9,5.9,6.2,4.61,3.47,3.11,2.3,2.31,2.25,2.03,1.93,1.7,1.49,1.39
Mayotte,175,Country/Area,910,7.91,7.91,7.91,7.91,7.91,7.91,7.35,6.73,5.25,5.08,4.8,4.6,4.1,3.73
Mozambique,508,Country/Area,910,6.34,6.34,6.56,6.71,6.68,6.55,6.4,6.3,6.1,5.85,5.8,5.54,5.23,4.89
Réunion,638,Country/Area,910,6.93,6.57,6.56,5.67,3.88,3.12,2.78,2.71,2.41,2.33,2.45,2.4,2.4,2.27
Rwanda,646,Country/Area,910,8,8.15,8.2,8.2,8.28,8.43,8.38,7.8,6.55,5.9,5.4,4.85,4.25,4.1
Seychelles,690,Country/Area,910,5,5,5.59,5.92,5.38,4.27,3.51,2.94,2.57,2.18,2.2,2.3,2.38,2.46
Somalia,706,Country/Area,910,7.25,7.25,7.25,7.25,7.1,7,7.07,7.26,7.53,7.7,7.47,7.1,6.61,6.12
South Sudan,728,Country/Area,910,6.65,6.7,6.75,6.85,6.9,6.92,6.78,6.83,6.65,6.42,6,5.6,5.15,4.74
Uganda,800,Country/Area,910,6.9,6.95,7.05,7.12,7.1,7.1,7.1,7.1,7.06,6.95,6.75,6.38,5.78,5.01
United Republic of Tanzania,834,Country/Area,910,6.74,6.8,6.8,6.79,6.75,6.73,6.55,6.36,6.05,5.75,5.66,5.58,5.24,4.92
Zambia,894,Country/Area,910,6.7,6.95,7.25,7.3,7.4,7.25,6.9,6.6,6.3,6.1,5.95,5.6,5.2,4.66
Zimbabwe,716,Country/Area,910,6.8,7,7.3,7.4,7.4,7.3,6.3,5.37,4.42,3.89,3.72,3.89,4.09,3.63
Middle Africa,911,Subregion,947,5.84,5.97,6.12,6.29,6.46,6.6,6.72,6.75,6.67,6.52,6.38,6.23,5.94,5.53
Angola,24,Country/Area,911,6,6.5,6.9,7.3,7.5,7.46,7.46,7.4,7.1,6.75,6.55,6.35,6,5.55
Cameroon,120,Country/Area,911,5.49,5.53,5.81,6.09,6.31,6.5,6.7,6.6,6.22,5.75,5.45,5.25,4.95,4.6
Central African Republic,140,Country/Area,911,5.52,5.75,5.9,5.95,5.95,5.9,5.9,5.9,5.7,5.55,5.45,5.3,5.1,4.75
