region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Gabon,266,Country/Area,911,   160,   154,   149,   134,   118,   100,   83,   67,   64,   62,   60,   50,   42,   35
Sao Tome and Principe,678,Country/Area,911,   138,   126,   112,   100,   87,   74,   71,   77,   79,   71,   56,   42,   32,   26
Southern Africa,913,Subregion,947,   134,   121,   113,   103,   89,   72,   57,   47,   43,   50,   56,   50,   35,   29
Botswana,72,Country/Area,913,   128,   112,   99,   85,   71,   56,   44,   36,   42,   56,   57,   44,   35,   30
Eswatini,748,Country/Area,913,   145,   138,   130,   121,   108,   89,   69,   53,   54,   76,   86,   74,   52,   41
Lesotho,426,Country/Area,913,   128,   118,   115,   114,   105,   91,   74,   64,   63,   73,   79,   75,   65,   62
Namibia,516,Country/Area,913,   144,   131,   115,   101,   88,   76,   69,   55,   50,   51,   51,   43,   39,   33
South Africa,710,Country/Area,913,   134,   121,   112,   103,   89,   71,   56,   46,   41,   47,   54,   48,   33,   27
Western Africa,914,Subregion,947,   196,   182,   169,   156,   145,   132,   123,   120,   116,   108,   95,   81,   68,   57
Benin,204,Country/Area,914,   208,   192,   176,   163,   151,   135,   124,   114,   102,   93,   84,   75,   68,   61
Burkina Faso,854,Country/Area,914,   228,   209,   192,   172,   153,   133,   119,   110,   104,   99,   90,   78,   65,   54
Cabo Verde,132,Country/Area,914,   131,   128,   124,   109,   96,   70,   62,   54,   47,   37,   24,   23,   21,   17
Côte d'Ivoire,384,Country/Area,914,   189,   178,   162,   144,   129,   115,   105,   102,   100,   99,   88,   77,   67,   60
Gambia,270,Country/Area,914,   156,   150,   144,   127,   113,   101,   90,   82,   76,   67,   59,   52,   50,   45
Ghana,288,Country/Area,914,   147,   133,   122,   113,   106,   99,   93,   83,   72,   67,   61,   54,   45,   36
Guinea,324,Country/Area,914,   207,   200,   195,   192,   185,   171,   156,   142,   128,   112,   95,   78,   66,   52
Guinea-Bissau,624,Country/Area,914,   163,   160,   157,   151,   146,   141,   134,   130,   125,   115,   104,   85,   68,   57
Liberia,430,Country/Area,914,   165,   165,   163,   157,   150,   144,   139,   149,   156,   136,   100,   73,   60,   54
Mali,466,Country/Area,914,   242,   224,   207,   191,   176,   163,   151,   139,   127,   121,   107,   89,   78,   66
Mauritania,478,Country/Area,914,   148,   137,   122,   109,   103,   97,   87,   76,   70,   70,   69,   66,   59,   53
Niger,562,Country/Area,914,   161,   161,   158,   156,   151,   139,   133,   139,   130,   103,   85,   68,   56,   46
Nigeria,566,Country/Area,914,   200,   186,   173,   159,   147,   134,   125,   126,   126,   119,   104,   89,   75,   62
Senegal,686,Country/Area,914,   128,   123,   117,   113,   108,   97,   85,   75,   72,   68,   61,   47,   38,   33
Sierra Leone,694,Country/Area,914,   237,   225,   216,   204,   190,   180,   171,   166,   163,   157,   142,   122,   97,   81
Togo,768,Country/Area,914,   186,   164,   145,   128,   113,   101,   92,   87,   83,   80,   77,   63,   56,   50
NORTHERN AFRICA AND WESTERN ASIA,1833,SDG region,1828,   199,   175,   156,   139,   124,   102,   82,   64,   53,   41,   34,   27,   24,   21
Northern Africa,912,Subregion,1833,   201,   175,   158,   144,   134,   112,   90,   69,   58,   45,   39,   32,   27,   23
Algeria,12,Country/Area,912,   163,   153,   143,   132,   122,   105,   75,   55,   43,   38,   34,   29,   25,   21
Egypt,818,Country/Area,912,   249,   205,   184,   170,   165,   133,   107,   74,   60,   37,   29,   23,   19,   16
Libya,434,Country/Area,912,   254,   229,   166,   121,   90,   67,   51,   41,   33,   26,   21,   18,   13,   11
Morocco,504,Country/Area,912,   151,   143,   133,   123,   113,   102,   84,   67,   53,   44,   37,   27,   24,   20
