region,country_code,type,parent_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Togo,768,Country/Area,914,35.3,38.66,41.9,45.02,48.07,50.93,53.58,55.41,55.78,53.71,53.88,55.8,59.08,60.53
NORTHERN AFRICA AND WESTERN ASIA,1833,SDG region,1828,42.59,46,49.06,52.13,54.87,58.1,61.07,64.09,65.97,67.82,69.5,71.07,72.31,73.45
Northern Africa,912,Subregion,1833,42.27,45.81,48.59,51.12,53.19,56.27,59.77,62.84,64.62,66.45,67.98,69.77,71.17,72.27
Algeria,12,Country/Area,912,42.89,45,47.29,49.47,51.49,54.94,61.58,65.87,67.63,69.52,71.83,74.17,75.51,76.59
Egypt,818,Country/Area,912,41.13,46.33,49.28,51.57,52.95,56.75,59.89,63.53,65.44,67.97,68.98,69.87,70.83,71.74
Libya,434,Country/Area,912,36.67,38.99,46.89,53.32,58.41,62.47,65.57,67.52,69.35,70.43,71.26,72.34,71.74,72.7
Morocco,504,Country/Area,912,45.67,47.45,49.52,51.64,53.53,55.75,59.58,63.2,65.98,67.65,69.97,73.41,75.03,76.33
Sudan,729,Country/Area,912,44.54,47.08,49.22,51.24,53.06,54,54.46,55.14,56,57.58,59.46,61.62,63.76,64.95
Tunisia,788,Country/Area,912,38.81,40.73,43.74,48.33,54.08,59.37,64.26,67.13,70.32,72.43,73.72,74.63,75.45,76.41
Western Sahara,732,Country/Area,912,35.52,37.43,39.31,41.24,43.26,47.56,51.88,56.18,58.72,61.28,63.91,66.2,68.41,69.86
Western Asia,922,Subregion,1833,42.99,46.2,49.53,53.15,56.56,59.93,62.36,65.29,67.26,69.12,70.93,72.3,73.41,74.57
Armenia,51,Country/Area,922,62.81,64.92,67.03,69.18,70.76,70.6,70.92,68.39,68.06,70.2,72.37,72.74,73.99,74.87
Azerbaijan,31,Country/Area,922,58.42,60.4,61.53,62.63,63.54,63.94,64.43,65.24,64.55,66.25,67.44,70.1,71.57,72.81
Bahrain,48,Country/Area,922,42.99,48.48,55.3,61.09,65.37,68.36,70.48,71.83,72.89,73.92,74.92,75.69,76.41,77.1
Cyprus,196,Country/Area,922,66.73,68.74,70.42,71.91,73.18,74.28,75.26,76.15,76.94,77.67,78.34,78.96,79.93,80.75
Georgia,268,Country/Area,922,60.65,62.65,64.65,66.66,68.16,69.64,69.65,70.46,70.11,69.51,70.44,70.75,72.31,73.52
Iraq,368,Country/Area,922,37.94,44.92,50.88,56.35,59.51,61.72,58.54,64.14,67.33,69.02,68.77,68,69.4,70.37
Israel,376,Country/Area,922,68.87,70.04,70.97,71.77,72.57,73.52,74.63,75.94,77.2,78.31,79.56,80.94,81.91,82.74
Jordan,400,Country/Area,922,46.49,50.65,54.59,58.38,61.85,64.97,67.25,69.15,70.43,71.28,72.18,73,73.81,74.33
Kuwait,414,Country/Area,922,53.56,57.4,61.19,64.45,66.78,68.77,70.49,71.69,72.49,72.97,73.32,73.85,74.86,75.33
Lebanon,422,Country/Area,922,60.47,62.43,64.01,65.37,66.7,67.59,68.37,69.59,71.1,73.29,75.71,77.78,78.64,78.82
Oman,512,Country/Area,922,36.05,40.53,44.71,48.55,52.26,57.38,61.93,65.64,68.51,70.93,73.23,75.06,76.22,77.53
Qatar,634,Country/Area,922,55.26,59.2,62.95,66.64,69.47,71.85,73.75,75.2,76.34,77.12,77.83,78.69,79.48,80.02
Saudi Arabia,682,Country/Area,922,41.94,44.42,46.99,50.24,55.46,60.66,64.74,67.84,70.11,71.9,73.01,73.46,74.38,74.9
State of Palestine,275,Country/Area,922,46.6,48.23,50.76,54.09,57.44,60.66,64.21,66.95,68.95,70.43,71.53,72.45,73.09,73.82
Syrian Arab Republic,760,Country/Area,922,47.6,50.52,53.49,56.85,60.79,64.22,67.18,69.63,71.28,72.54,73.58,74.45,69.87,71.32
Turkey,792,Country/Area,922,41.01,43.67,47.21,50.78,53.75,57.05,60.22,63.04,65.49,68.49,71.37,73.37,75.59,77.31
United Arab Emirates,784,Country/Area,922,43.86,48.94,54.08,58.86,63.36,66.82,69.35,71.19,72.58,73.76,74.86,75.86,76.79,77.75
Yemen,887,Country/Area,922,29.23,29.7,30.66,34.36,39.61,45.28,51.58,56.02,58.19,59.5,62.06,64.71,66,66.03
CENTRAL AND SOUTHERN ASIA,921,SDG region,1828,37.77,40.94,44.05,47.14,49.78,53.07,55.17,57.33,59.78,61.97,64,65.92,68.04,69.48
Central Asia,5500,Subregion,921,54.23,56.24,58.24,60.17,61.73,62.81,64.14,65.69,64.54,63.93,65.63,67.45,69.52,71.64
Kazakhstan,398,Country/Area,5500,55.08,57.32,59.51,61.66,63.26,64.31,65.89,67.5,65.45,62.96,64.59,66.08,69.07,73.23
Kyrgyzstan,417,Country/Area,5500,52.83,55.09,57.35,59.57,61.26,62.4,64.03,66.07,66.25,65.93,66.9,67.47,70.27,71.18
Tajikistan,762,Country/Area,5500,48.2,49.81,51.41,52.99,55.05,56.83,57.45,59.86,57.8,60.09,64.08,67.73,69.39,70.77
Turkmenistan,795,Country/Area,5500,51.29,53.42,55.52,57.61,59.17,60.22,61.77,62.84,62.7,63.18,64.23,65.87,67.3,67.98
Uzbekistan,860,Country/Area,5500,56.07,57.91,59.76,61.62,63.03,64.01,65.3,66.58,66.27,66.72,67.73,69.1,70.23,71.53
Southern Asia,5501,Subregion,921,37.33,40.47,43.56,46.66,49.33,52.69,54.82,57,59.59,61.89,63.94,65.87,67.98,69.39
Afghanistan,4,Country/Area,5501,28.61,31.13,33.74,36.15,38.74,41.63,44.97,48.56,51.96,54.67,57,59.63,62.32,64.28
Bangladesh,50,Country/Area,5501,40.54,43.86,46.66,48.63,45.81,51.57,53.84,56.7,59.9,64.01,66.6,68.83,70.79,72.15
Bhutan,64,Country/Area,5501,32.26,33.78,35.47,38.2,41.06,43.69,47.39,50.98,54.81,58.58,63.19,67.05,69.41,71.28
India,356,Country/Area,5501,36.98,39.93,42.94,46.1,49.37,52.51,54.91,56.69,59.12,61.47,63.5,65.53,67.77,69.27
Iran (Islamic Republic of),364,Country/Area,5501,40.59,43.5,46.38,49.18,52.67,56.71,52.11,59.97,66.91,69.09,71.15,72.72,75.04,76.35
Maldives,462,Country/Area,5501,34.45,36.06,38.92,42.35,46.1,50.57,55.45,59.34,63.77,68.02,72.09,74.81,76.82,78.47
Nepal,524,Country/Area,5501,34.53,34.98,36.57,39.44,42.33,45.18,48.52,52.28,56.56,60.5,63.87,66.47,68.61,70.31
Pakistan,586,Country/Area,5501,37.45,42.86,47.45,51.11,53.93,55.95,57.7,59.33,60.82,62.16,63.44,64.49,66.02,67.02
Sri Lanka,144,Country/Area,5501,54.51,58.3,60.26,62.93,65.14,66.96,69.08,68.91,70.02,69.06,73.9,74.93,75.89,76.73
EASTERN AND SOUTH-EASTERN ASIA,1832,SDG region,1828,45.41,47.08,48.02,56.49,61.17,64.11,66.71,68.31,69.2,70.4,71.97,73.44,74.88,76.26
Eastern Asia,906,Subregion,1832,45.44,46.69,47.03,57.04,62.84,66.52,68.71,69.89,70.53,71.67,73.45,74.89,76.34,77.76
China,156,Country/Area,906,43.83,44.47,44.55,55.47,61.68,65.51,67.75,68.92,69.37,70.58,72.26,73.68,75.14,76.62
"China, Hong Kong SAR",344,Country/Area,906,63.15,65.88,68.81,70.85,72.49,73.76,75.61,76.96,78.04,79.98,81.41,82.43,83.4,84.63
"China, Macao SAR",446,Country/Area,906,60.98,63.58,66.01,68.12,70.64,73.02,74.82,76.54,78.05,79.75,80.97,82.07,83.29,84.04
"China, Taiwan Province of China",158,Country/Area,906,58.16,62.92,65.01,66.91,69.33,70.78,72.13,73.36,74.42,75.22,76.94,78.2,79.26,80.19
Dem. People's Republic of Korea,408,Country/Area,906,37.59,49.88,51.63,57.24,61.73,65.03,67.06,68.59,70.03,63.5,68.06,68.44,70.79,71.96
Japan,392,Country/Area,906,62.8,66.4,69.16,71.41,73.28,75.4,77.01,78.53,79.42,80.51,81.8,82.65,83.32,84.43
Mongolia,496,Country/Area,906,43.18,46.09,50.73,53.87,56.43,56.85,57.3,59.6,60.77,61.82,64.08,66.14,68.47,69.55
Republic of Korea,410,Country/Area,906,41.93,52.87,56.26,59.29,63.1,65,67.38,70.34,72.85,74.95,77.17,79.47,81.27,82.77
South-Eastern Asia,920,Subregion,1832,45.72,49.24,52.15,54.63,55.83,57.26,61.22,63.53,65.31,66.71,67.91,69.62,71.17,72.46
Brunei Darussalam,96,Country/Area,920,50.93,52.48,57.47,61.09,63.89,66.38,68.28,69.54,70.83,72.11,73.46,74.43,75,75.66
Cambodia,116,Country/Area,920,40.32,41.05,41.39,41.97,37.84,14.49,45.08,52.04,54.27,56.41,60.78,65.12,67.61,69.44
Indonesia,360,Country/Area,920,41.76,45.08,48.18,51.05,54.02,56.69,59.21,61.28,63.31,65.15,66.4,68.33,70.01,71.41
Lao People's Democratic Republic,418,Country/Area,920,40.93,42.44,43.97,45.48,47.04,48.4,49.89,52.37,54.43,57.38,60.2,62.99,65.49,67.44
Malaysia,458,Country/Area,920,54.95,58.53,61.24,63.45,65.64,67.19,68.99,70.17,71.47,72.14,73.09,74.03,74.96,75.93
Myanmar,104,Country/Area,920,36.37,40.93,43.7,47.49,49.84,51.91,53.91,55.98,57.65,59.26,60.87,62.44,64.68,66.76
Philippines,608,Country/Area,920,56.49,59.83,62,62.94,63.23,63.24,64.27,65.24,67.51,68.64,68.86,69.45,70.23,71.04
Singapore,702,Country/Area,920,60.23,64.05,66.44,67.24,69.1,71.03,72.9,74.93,76.69,77.01,79.18,81.22,82.3,83.39
Thailand,764,Country/Area,920,50.81,53.3,56.05,58.18,60.66,63.31,65.74,69.77,70.15,70.3,71.22,73.15,75.18,76.83
Timor-Leste,626,Country/Area,920,29.97,32.48,34.98,37.49,39.95,31.18,39.92,46.45,50.46,56.68,61.14,66.16,67.67,69.15
Viet Nam,704,Country/Area,920,53.5,57.26,60.48,62.33,57.75,66.1,68.05,69.78,71.25,72.52,73.5,74.59,74.96,75.27
LATIN AMERICA AND THE CARIBBEAN,1830,SDG region,1828,51.4,54.24,56.79,58.95,61.23,63.33,65.29,67.15,68.96,70.67,72.25,73.45,74.44,75.24
Caribbean,915,Subregion,1830,52.11,55.34,58.12,60.62,62.75,64.43,65.51,66.68,67.53,68.74,69.74,70.83,71.63,72.53
